;;;;;;
Entretien, exploitation et maintenance des installations techniques des bâtiments;;;;;;
CPS E2MT²;;;;;;
Annexe 4 : Bordereau des Prix Unitaires, Scénario de Commande et Minimum Garanti;;;;;;
LOT 4.1 - Mission D - BPU Prestations connexes - Rubrique 1;;;;;;
;;;;;;
"Attention, les prestations ci-dessous ne sont utilisables que dans les niveaux de maitenance non inclus au contrat ou pour des travaux neufs (si la main d'oeuvre et la franchise doivent être déduites, alors il faut recourir aux onglets 2 et 3).
Les prestations listées ci-dessous peuvent être commandées par SNCF sans qu'obligatoirement les missions correspondantes en prestations récurrentes soient actives au contrat.";;;;;;
Code PU;Prestation;;Détail Prestation;;Prix en €HT;Unité
CFO-04;Déplacement d’une prise électrique, d’un interrupteur ou d’un convecteur électrique. ;;"Déplacement dans un même local à une distance maximum de 4 m par rapport à la position d’origine. 
Compris création réservation dans cloison/mur, obturation de l'ancienne réservation tirage de câble en goulotte ou en cloison quand si possible.";;297,94;
Fermetures motorisées;;;;;;
FERM-01;Remplacement d'un moteur électrique d'un rideau métallique, d'un volet roulant ou d'un portail sectionnel;;"Dépose et évacuation du moteur défaillant.
Fourniture et pose d'un moteur identique à l'existant ou équivalent. 
Essai et contrôle de bon fonctionnement.";;1971,59;Forfait pièces et main d'œuvre
FERM-02;Remplacement d'une barre palpeuse sur un rideau métallique ou un portail sectionnel;;"Dépose et évacuation organes défaillants.
Fourniture et pose d'une barre palpeuse identique à l'existant ou équivalent. Essai et contrôle de bon fonctionnement.";;770,45;
FERM-03;Remplacement d'une barre palpeuse sur un portail coulissant;;"Dépose et évacuation organes défaillants.
Fourniture et pose d'une barre palpeuse identique à l'existant ou équivalent. Essai et contrôle de bon fonctionnement.";;826,14;
FERM-04;Remplacement d'une lame de rideau métallique;;"Dépose et évacuation de la lame cassée ou tordue.
Fourniture et pose d'une lame identique à l'existant ou équivalent. Essai et contrôle de bon fonctionnement.";;476,14;
FERM-05;Remplacement d'une lisse de barrière levante;;"Dépose et évacuation organes défaillants.
Fourniture et pose d'une lisse identique à l'existant ou équivalent. Essai et contrôle de bon fonctionnement.";;657,95;
Plomberie;;;;;;
PB-01;Forfait pour une inspection vidéo de réseaux EU, EV ou EP;;"Forfait pour une intervention dans la limite de 30 m linéaires inspectés y compris toutes sujétions.
Compris rapport détaillé.";;1223,86;Forfait
PB-02;Forfait pour un curage de réseaux EU, EV ou EP d'1/2 journée;;"Forfait pour le curage d'un réseau EU, EV ou EP.
Y compris toutes sujétions dont écacuation et traitement des déchets conformément à la réglementation en vigueur, déplacement et mise en place du matériel sur site.";;802,27;"PU pour 1/2 journée d'intervention
avec camion hydrocureur"
PB-03;Forfait pour un curage de réseaux EU, EV ou EP d'1 journée;;;;1604,55;PU pour 1 journée d'intervention avec camion hydrocureur
PB-04;Réalisation d'une analyse de potabilité de type D1;;"Montant unitaire pour une analyse sur un point de prélèvement (déplacement + prélèvement + analyse + rapport)
Analyse de potabilité de type D1 conforme au CSP et aux arrêtés du 11/01/2007.";;274,11;Forfait par prélèvement
PB-05;Remplacement d'un robinet mitigeur double débit pour vasque sanitaire/lavabo, évier, douche;;PIEL, GROHE, PORCHER  ou qualité technique équivalente. Y compris dépose et évacuation du mitigeur hors service.;;235,74;Forfait pièces et main d'œuvre
PB-06;Remplacement d'un mélangeur pour vasque sanitaire/lavabo, évier, douche;;PIEL, GROHE, PORCHER  ou qualité technique équivalente. Y compris dépose et évacuation du mélangeur hors service.;;160,17;Forfait pièces et main d'œuvre
PB-07;Remplacement d'un flexible et d'un pommeau de douche;;Dépose et évacuation de l'équipement hors service. Mise en place du flexible et du pommeau de douche de marque GROHE, PORCHER, PIEL ou qualité technique équivalente y compris joints et accessoires.;;116,14;Forfait pièces et main d'œuvre
PB-08;Remplacement d'un lavabo/vasque complet;;"Dépose de l'ensemble existant.
Fourniture et mise en œuvre d'un lavabo en porcelaine émaillée (blanc) certifiée ""NF Appareils sanitaires"" type JACOB DELAFON, ALLIA ou qualité technique équivalente. Joint d'étanchéité sur mur.
Raccordement de la robinetterie sur EF et EC existant ";;544,32;Forfait pièces et main d'œuvre
PB-09;Lavabos / lave-mains / bac à laver : Fourniture et pose mitigeur temporisé à fermeture automatique. ;;Robinet avec temporisation de 7 secondes - débit préconisé de 3 l/min. Tous accessoires inclus.;;245,00;Forfait pièces et main d'œuvre
PB-10;Douches : Fourniture et pose mitigeur thermostatique;;Avec robinetterie temporisée de débit 6 l/min maximum à 3 bars. Tous accessoires inclus.;;375,00;Forfait pièces et main d'œuvre
PB-11;Fourniture et pose mousseur autorégulé de débit inférieur à 7,5 litres/minute. ;;Tous accessoires inclus.;;60,00;Forfait pièces et main d'œuvre
PB-12;Fourniture et pose pomme de douches hydro-économes de classe ZZ;;Tous accessoires inclus.;;80,00;Forfait pièces et main d'œuvre
PB-13;Remplacement d'un abattant double de cuvette;;"Remplacement par modèle adapté à la cuvette conservée, fixations réglables et réversibles, avec cache charnières.
Matériaux en « bois polymérisé » ou en résine thermodurcissable.
Marque: OLFA, SIAMP ou qualité technique équivalente";;75,50;Forfait pièces et main d'œuvre
PB-14;Remplacement d'une cuvette de WC fixée au sol;;"Dépose des équipements et accessoires récupérés pour réemploi, remplacement d'une cuvette en porcelaine émaillée blanche certifié ""NF Appareils sanitaires"" seule, de WC sur pied type ALLIA, IDELA STANDARD ou qualité technique équivalente
Mise en place des fixations spécifiques avec écrous nylon ou comportant une rondelle plastique, ""anticorrosion"". Repose du réservoir de chasse et abattant existant.
Raccordement EF et évacuation par pipe PVC neuve sur culotte, à proximité..";;251,14;Forfait pièces et main d'œuvre
PB-15;Remplacement d'une cuvette WC suspendue ;;"Dépose des équipements et accessoires pour réemploi. Evacuation de la cuvette déposée.
Remplacement d'une cuvette de WC suspendue type ALLIA, IDEAL STANDARD ou qualité technique équivalente avec mise en place des fixations spécifiques au préalable.
Raccordement sur réservoir y compris joints et tous accessoires et repose de l'abattant existant";;407,95;Forfait pièces et main d'œuvre
PB-16;Remplacement d'un mécanisme silencieux de chasse double commande;;"Remplacement d'un mécanisme de chasse complet, adaptable à la cuvette conservée; l'équipement du réservoir sera à double commande 3/6 l et à mécanisme silencieux avec robinet flotteur type NF 95, ou qualité technique équivalente
Raccordement sur alimentation, à proximité
Remplissage, essai et contrôle après repose couvercle.";;127,76;Forfait pièces et main d'œuvre
PB-17;Remplacement réservoir de chasse compris mécanisme double commande;;"Dépose et évacuation du réservoir
Remplacement d'un réservoir de chasse complet, adaptable et de couleur blanc identique à la cuvette conservée, équipé d'un mécanisme de chasse complet à double commande 3/6 l et à mécanisme silencieux avec robinet flotteur type NF 95, ou qualité technique équivalente.
Raccordement sur alimentation, à proximité.
Remplissage, essai et contrôle : après repose couvercle.";;232,30;Forfait pièces et main d'œuvre
PB-18;Remplacement d'un wc complet suspendu avec mécanisme de chasse double commande;;"Dépose de l'ensemble existant
Remplacement d'une cuvette de WC suspendu en porcelaine émaillée blanche certifié ""NF Appareils sanitaires"", type ALLIA, IDELA STANDARD ou qualité technique équivalente.
Mise en place des fixations spécifiques avec écrous nylon
Réservoir de chasse complet, équipé d'un mécanisme de chasse complet à double commande et à mécanisme silencieux
Remplacement de robinet d'arrêt.
Raccordement sur alimentation y compris joints et tous accessoires. Abattant compris.";;1494,32;Forfait pièces et main d'œuvre
PB-19;Remplacement d'un wc complet sur pied avec mécanisme de chasse double commande;;"Dépose de l'ensemble existant.
Remplacement d'une cuvette de WC sur pied en porcelaine émaillée blanche certifié ""NF Appareils sanitaires"", type ALLIA, JACOB DELAFON ou qualité technique équivalente.
Mise en place des fixations spécifiques avec écrous nylon
Réservoir de chasse complet, équipé d'un mécanisme de chasse complet à double commande et à mécanisme silencieux
Remplacement de robinet d'arrêt.
Raccordement sur alimentation y compris joints et tous accessoires. Abattant compris.";;715,91;Forfait pièces et main d'œuvre
PB-20;Remplacement d'un urinoir ;;"Dépose et évacuation .
Fourniture et pose d'un urinoir type ALLIA, IDEAL STANDARD ou qualité technique équivalente y compris repose de la robinetterie en conservation et toutes sujétions.";;501,14;Forfait pièces et main d'œuvre
PB-21;Remplacement d'un ballon ECS électrique d'une capacité entre 15 et 49 litres horizontal ou vertical;;"Dépose et évacuation de l'existant.
Fourniture, pose et raccordement d'un accumulateur certifié NF Électricité Performance, compris groupe de sécurité certifié NF robinetterie de chauffage.
Marque : Chaffoteaux et Maury – Ariston – Fagor - Atlantic ou qualité technique équivalente.";;354,81;Forfait pièces et main d'œuvre
PB-22;Fourniture et pose d'un ballon ECS électrique d'une capacité de 50 à 99 litres horizontal ou vertical;;;;459,09;
PB-23;Fourniture et pose d'un ballon ECS électrique d'une capacité de 100 à 200 litres horizontal ou vertical;;;;614,77;
Eclairage;;;;;;
ECL-01;Remplacement d'un bloc autonome d'éclairage de sécurité ;;Dépose et évacuation de l'équipement défectueux, Fourniture et pose d'un BAES équipé d'un système automatique de test intégré (SATI) et à LED  conforme à la norme NFC 71-820 et compatible avec la télécommande en place, de type KAUFEL, LUMINOX, URA ou qualité technique équivalente, Compris raccordement électrique et toutes fixations.;;126,48;Forfait pièces et main d'œuvre
Second-œuvre;;;;;;
SOE-01;Remplacement d'un ferme-porte avec bras à compas;;"Dépose et évacuation du matériel défectueux.
Fourniture et pose d'un ferme-porte VACHETTE, GEZE, DORMA ou qualité technique équivalentee - Compris matériel de montage et accessoires.";;244,10;Forfait pièces et main d'œuvre
SOE-02;Remplacement d'un ferme-porte avec bras à coulisse;;;;333,69;
SOE-03;Remplacement d'une ventouse électromagnétique;;"Dépose et évacuation du matériel défectueux.
Fourniture et pose d'une ventouse type INTEGRAL SYSTEM 300 kg 12 ou 24 V ou qualité technique équivalente  y compris branchement et toutes sujétions.";;262,19;
SOE-04;Remplacement d'un cylindre européen tous types;;"Dépose et évacuation du matériel défectueux.
Fourniture et pose d'un cylindre type VACHETTE, JPM ou qualité technique équivalente y compris fourniture de 3 clefs.";;133,49;
SOE-05;Remplacement d'une barre anti-panique un point sur menuiserie bois ou aluminium (vitrée ou non);;Compris dépose de la barre hors service, fourniture et pose d'une barre anti-panique et de la serrurerie associée et repose du canon en conservation (portes issues de secours).;;440,95;
SOE-06;Remplacement d'une barre anti-panique 3 points sur menuiserie bois ou aluminium (vitrée ou non);;;;440,95;
SOE-07;Remplacement d'un store intérieur screen  avec manivelle et cordelette de guidage;;"Dépose et évacuation du store hors service.
Fourniture et pose d'un store screen intérieur identique à l'existant ou qualité technique équivalente d'une hauteur max de 2,5 ml à commande manuelle par manivelle y compris cordelette de guidage si nécessaire.";;239,77;Forfait pièces et main d'œuvre
SOE-08;Remplacement d'un store vénitien intérieur  de bureau ;;"Dépose et évacuation du store hors service.
Fourniture et pose d'un store vénitien identique à l'existant ou qualité technique équivalente d'une hauteur max de 2,5 ml à commande manuelle .";;94,32;Forfait pièces et main d'œuvre
